,name,function,prob
0,Posterize.10,<function <lambda> at 0x7fd7cbacf620>,0.037144824862480164
1,Posterize.14,<function <lambda> at 0x7fd7cbacf6a8>,0.03516959026455879
2,TranslateX.0,<function <lambda> at 0x7fd7cbacfd08>,0.03279399871826172
3,Posterize.0,<function <lambda> at 0x7fd7cbacf510>,0.031929753720760345
4,TranslateX.2,<function <lambda> at 0x7fd7cbacfd90>,0.031230488792061806
5,Sharpness.2,<function <lambda> at 0x7fd7cbad3048>,0.03048216737806797
6,TranslateY.2,<function <lambda> at 0x7fd7cbad20d0>,0.02841605432331562
7,TranslateX.10,<function <lambda> at 0x7fd7cbacfe18>,0.026740068569779396
8,TranslateX.14,<function <lambda> at 0x7fd7cbacfea0>,0.025413529947400093
9,TranslateY.14,<function <lambda> at 0x7fd7cbad21e0>,0.025241103023290634
10,TranslateY.0,<function <lambda> at 0x7fd7cbad2048>,0.024532705545425415
11,TranslateY.10,<function <lambda> at 0x7fd7cbad2158>,0.022764800116419792
12,Contrast.10,<function <lambda> at 0x7fd7cbad2ae8>,0.022400768473744392
13,Posterize.2,<function <lambda> at 0x7fd7cbacf598>,0.02199902944266796
14,Sharpness.14,<function <lambda> at 0x7fd7cbad3158>,0.020861074328422546
15,Color.10,<function <lambda> at 0x7fd7cbad2840>,0.020602408796548843
16,Brightness.0,<function <lambda> at 0x7fd7cbad2c80>,0.019555700942873955
17,Brightness.2,<function <lambda> at 0x7fd7cbad2d08>,0.019114967435598373
18,Color.0,<function <lambda> at 0x7fd7cbad2730>,0.018993478268384933
19,Color.2,<function <lambda> at 0x7fd7cbad27b8>,0.01892501302063465
20,Equalize.,<function <lambda> at 0x7fd7cbaced90>,0.018907148391008377
21,Color.14,<function <lambda> at 0x7fd7cbad28c8>,0.018898911774158478
22,Contrast.0,<function <lambda> at 0x7fd7cbad29d8>,0.018860330805182457
23,Sharpness.0,<function <lambda> at 0x7fd7cbad2f28>,0.01842300407588482
24,FlipUD.,<function <lambda> at 0x7fd7cbaceb70>,0.017860110849142075
25,Contrast.2,<function <lambda> at 0x7fd7cbad2a60>,0.017819561064243317
26,ShearY.14,<function <lambda> at 0x7fd7cbacfbf8>,0.017543001100420952
27,Sharpness.10,<function <lambda> at 0x7fd7cbad30d0>,0.01752064935863018
28,Solarize.10,<function <lambda> at 0x7fd7cbad2488>,0.017384584993124008
29,Contrast.14,<function <lambda> at 0x7fd7cbad2b70>,0.016990218311548233
30,Brightness.10,<function <lambda> at 0x7fd7cbad2d90>,0.016855208203196526
31,FlipLR.,<function <lambda> at 0x7fd7cbacea60>,0.01563451997935772
32,ShearX.14,<function <lambda> at 0x7fd7cbacf950>,0.015469820238649845
33,Smooth.,<function <lambda> at 0x7fd7cbacf158>,0.015250267460942268
34,ShearX.2,<function <lambda> at 0x7fd7cbacf840>,0.015024540945887566
35,Brightness.14,<function <lambda> at 0x7fd7cbad2e18>,0.014979317784309387
36,Invert.,<function <lambda> at 0x7fd7cbaceea0>,0.014965444803237915
37,Rotate.2,<function <lambda> at 0x7fd7cbacf2f0>,0.014658083207905293
38,ShearX.10,<function <lambda> at 0x7fd7cbacf8c8>,0.014516439288854599
39,Solarize.0,<function <lambda> at 0x7fd7cbad2378>,0.014159763231873512
40,ShearY.2,<function <lambda> at 0x7fd7cbacfae8>,0.014054246246814728
41,ShearY.0,<function <lambda> at 0x7fd7cbacfa60>,0.01396029070019722
42,Solarize.2,<function <lambda> at 0x7fd7cbad2400>,0.01384519599378109
43,AutoContrast.,<function <lambda> at 0x7fd7cbacec80>,0.013753365725278854
44,identity.,<function <lambda> at 0x7fd7cbace950>,0.013648837804794312
45,Solarize.14,<function <lambda> at 0x7fd7cbad2510>,0.013411513529717922
46,Rotate.14,<function <lambda> at 0x7fd7cbacf400>,0.012409900315105915
47,ShearY.10,<function <lambda> at 0x7fd7cbacfb70>,0.01219446212053299
48,ShearX.0,<function <lambda> at 0x7fd7cbacf7b8>,0.012173563241958618
49,Rotate.10,<function <lambda> at 0x7fd7cbacf378>,0.011818100698292255
50,Blur.,<function <lambda> at 0x7fd7cbacf048>,0.011669373139739037
51,Rotate.0,<function <lambda> at 0x7fd7cbacf268>,0.011028610169887543
